0,17,-0.000637909,1,0,1238.2,2.31,1.919,1.917,1.999,0.379883,147.128,-0.0320573,-1.15652,2.62578,4.93882,-0.00114443,0.999996,-0.00246689,-6.02376,-45.4525,8.48398,823.928,0.00433755,1.41649,-0.000742674,0.00140564,0.650501,-0.00169282,0.759502,-40.3954,-0.0891202,-6.20247,0.00663823,-0.0019512,0.00443072,4,0,0
1,25,-0.000612696,0.999971,0,1238.2,2.31,1.919,1.917,1.999,1.06201,147.194,-0.0320712,-1.13605,2.64619,4.91822,-0.00114443,0.999996,-0.00246689,-6.02376,-46.1267,8.48258,823.824,0.00442942,1.41648,-0.000649905,0.00147071,0.650496,-0.00168746,0.759507,-40.413,-0.0838583,-6.20817,0.00550686,-0.000824837,0.00556053,4,0,0
2,41,-0.000590961,0.99998,3.65E-05,1238.2,2.31,1.919,1.917,1.999,1.74365,147.235,-0.0321037,-1.11526,2.66686,4.89738,-0.00084241,0.999998,-0.00191512,-6.46423,-46.801,8.48124,823.72,0.00450251,1.41644,-0.000575989,0.00152254,0.650483,-0.00168314,0.759517,-40.423,-0.0810169,-6.21916,0.00438127,-0.00194879,0.0044304,4,0,0
3,58,-0.000572357,1,3.55E-05,1238.2,2.31,1.919,1.917,1.999,2.42627,147.306,-0.0321174,-1.09454,2.68752,4.87659,-0.00084241,0.999998,-0.00191512,-6.46423,-47.4757,8.47994,823.617,0.00463193,1.41643,-0.000558298,0.00157745,0.650478,-0.0017185,0.759521,-40.4427,-0.0784596,-6.2206,0.00775693,-0.000825589,0.00106036,4,0,0
4,75,-0.000555244,1,0,1238.2,2.31,1.919,1.917,1.999,3.10889,147.352,-0.0321125,-1.07375,2.70818,4.85575,-0.00199343,0.999996,-0.00205779,-6.40213,-48.1506,8.4787,823.513,0.00474258,1.41644,-0.000521752,0.00163135,0.65048,-0.00174062,0.75952,-40.4546,-0.0746237,-6.22707,0.00663255,0.000300293,0.0021906,4,0,0
5,91,-0.000535521,0.999971,0,1238.2,2.31,1.919,1.917,1.999,3.7915,147.392,-0.032126,-1.05297,2.7289,4.83484,-0.00199343,0.999996,-0.00205779,-6.40213,-48.8257,8.4775,823.409,0.00483445,1.41642,-0.000466526,0.00168422,0.650475,-0.00174952,0.759524,-40.4654,-0.0725523,-6.23056,0.00550701,-0.000823828,0.0033102,4,0,0
6,108,-0.000515483,0.99998,3.65E-05,1238.2,2.31,1.919,1.917,1.999,4.47461,147.46,-0.032121,-1.032,2.74981,4.81375,-0.00199343,0.999996,-0.00205779,-6.40213,-49.501,8.47628,823.305,0.00490757,1.41643,-0.000429979,0.00172386,0.650476,-0.00175942,0.759522,-40.4827,-0.0731737,-6.2421,0.00438252,0.00030187,0.00219066,4,0,0
7,125,-0.000495729,1,3.55E-05,1238.2,2.31,1.919,1.917,1.999,5.15771,147.509,-0.0321346,-1.01103,2.77066,4.79278,-0.00171771,0.999997,-0.00155393,-6.80331,-50.1766,8.47511,823.201,0.00496191,1.41641,-0.000374755,0.00176247,0.650471,-0.00175611,0.759527,-40.4965,-0.0703773,-6.2407,0.00325708,-0.00082248,0.0033101,4,0,0
8,141,-0.000482934,1,0,1238.2,2.31,1.919,1.917,1.999,5.84131,147.558,-0.032092,-0.989998,2.79163,4.77162,-0.00171771,0.999997,-0.00155393,-6.80331,-50.8524,8.47395,823.096,0.00503504,1.41646,-0.000338019,0.00180215,0.650487,-0.00176598,0.759513,-40.5089,-0.069874,-6.2495,0.00438326,0.0025523,0.00220203,4,0,0
9,158,-0.000465697,0.999971,0,1238.2,2.31,1.919,1.917,1.999,6.5249,147.612,-0.0321057,-0.968844,2.81272,4.75041,-0.00102378,0.999998,-0.00146915,-6.83755,-51.5285,8.4728,822.992,0.00508938,1.41644,-0.000320334,0.00182855,0.650482,-0.00177693,0.759517,-40.5232,-0.069421,-6.25516,0.00325713,-0.000822303,0.00105999,4,0,0
10,175,-0.000449438,0.99998,3.65E-05,1238.2,2.31,1.919,1.917,1.999,7.20898,147.653,-0.0320631,-0.94769,2.83375,4.72919,-0.00102378,0.999998,-0.00146915,-6.83755,-52.2047,8.47167,822.888,0.00520004,1.41648,-0.000283592,0.00188249,0.650498,-0.00179901,0.759504,-40.5346,-0.0681978,-6.25618,0.00663312,0.0025519,0.00220245,4,0,0
11,191,-0.000432354,1,3.55E-05,1238.2,2.31,1.919,1.917,1.999,7.89307,147.711,-0.0320393,-0.926598,2.85478,4.70798,-0.000822128,0.999999,-0.00110126,-7.12969,-52.8812,8.47058,822.783,0.00529193,1.41651,-0.000265714,0.00192318,0.650507,-0.00182213,0.759496,-40.5506,-0.0656292,-6.25893,0.00550777,0.00142731,0.00107173,4,0,0
12,208,-0.00041815,1,0,1238.2,2.31,1.919,1.917,1.999,8.57764,147.766,-0.0320343,-0.90526,2.876,4.68658,-0.000822128,0.999999,-0.00110126,-7.12969,-53.5579,8.46952,822.679,0.00540258,1.41651,-0.000229164,0.00197708,0.650509,-0.00184424,0.759494,-40.5642,-0.063978,-6.2713,0.00663246,0.000302236,0.00219081,4,0,0
13,225,-0.000403491,0.999971,0,1238.2,2.31,1.919,1.917,1.999,9.26221,147.809,-0.0320107,-0.883982,2.89721,4.66524,-0.000822128,0.999999,-0.00110126,-7.12969,-54.2348,8.46853,822.574,0.00549446,1.41654,-0.00021128,0.00201777,0.650518,-0.00186736,0.759486,-40.5765,-0.0595196,-6.26968,0.00550769,0.00142761,0.00107202,4,0,0
14,241,-0.00038794,0.99998,3.65E-05,1238.2,2.31,1.919,1.917,1.999,9.94678,147.875,-0.0319679,-0.862644,2.91849,4.64378,-4.74E-05,1,-0.00100478,-7.16698,-54.912,8.46766,822.469,0.0056802,1.41658,-0.000212056,0.00208801,0.650534,-0.00192811,0.759472,-40.5938,-0.0531033,-6.27697,0.0111329,0.00255143,-4.63E-05,4,0,0
15,258,-0.000372545,1,3.55E-05,1238.2,2.31,1.919,1.917,1.999,10.6323,147.928,-0.0319441,-0.841366,2.93971,4.62238,0.000151264,1,-0.00064283,-7.45363,-55.5894,8.46687,822.365,0.00584388,1.4166,-0.000156628,0.00216817,0.650543,-0.00196033,0.759464,-40.6085,-0.0476626,-6.27828,0.00981074,0.00142724,0.00332252,4,0,0
16,275,-0.00035948,1,0,1238.2,2.31,1.919,1.917,1.999,11.3174,147.963,-0.0319389,-0.819967,2.96098,4.60092,0.000151264,1,-0.00064283,-7.45363,-56.267,8.4662,822.26,0.00606709,1.41661,-0.000157613,0.00225261,0.650544,-0.00203331,0.759462,-40.6179,-0.0413669,-6.28182,0.0133796,0.000301648,-5.90E-05,4,0,0
