pos_0,pos_1,pos_2,rot_0,rot_1,rot_2,velocity_0,velocity_1,velocity_2,angular_velocity_0,angular_velocity_1,angular_velocity_2,current_lap_time_msec,frame_count,course_v,steering,throttle,brake,slip_angle_0,slip_angle_1,slip_angle_2,slipangle_3,u_delta,u_a,X,Y,psi,vx,vy,dpsi,ey,epsi,s
329.891174,8.515844,510.455261,-0.010366,1.724077,0.055853,28.519596,-0.003171,-3.714674,0.022574,0.355301,-0.008004,1000,60,2313.633789,-0.058181,1.0,0.0,-0.058224,-0.088485,-0.051314,-0.027354,-0.11111929570977319,0.9999999999845818,329.891174,510.455261,-0.15328067320510375,28.7523787264502,0.6832836162720262,-0.355301,1.2655050439527054,-0.07492718205441218,2309.333789
332.744049,8.515,510.022247,-0.010526,1.760139,0.054762,28.480346,-0.007982,-4.765789,0.013824,0.365081,-0.00583,1100,66,2316.510253,-0.058181,1.0,0.0,-0.057528,-0.088048,-0.05084,-0.02677,-0.11111929571020568,0.9999999999985958,332.744049,510.022247,-0.18934267320510312,28.868335098844863,0.6797659104711977,-0.365081,1.132776830240391,-0.10909741775365589,2312.2102529999997
334.168395,8.514778,509.765991,-0.01092,1.778499,0.054383,28.445941,-0.001719,-5.296792,0.012179,0.366509,-0.002518,1150,69,2317.950195,-0.058181,1.0,0.0,-0.057416,-0.088058,-0.050862,-0.026774,-0.11111929570994358,0.9999999999989374,334.168395,509.765991,-0.2077026732051035,28.926823738955427,0.6829591804418182,-0.366509,1.0677943264718446,-0.12588821583466547,2313.6501949999997
336.537353,8.515588,509.27951,-0.011694,1.809242,0.054278,28.36347,0.017146,-6.188501,0.009459,0.370243,0.004459,1233,74,2320.350341,-0.058181,1.0,0.0,-0.057229,-0.087655,-0.050763,-0.026617,-0.1111192956604153,0.999999999920458,336.537353,509.27951,-0.23844567320510368,29.022639521286123,0.6858354652406566,-0.370243,1.0020888796413272,-0.15385362282261905,2316.0503409999997
338.427093,8.517239,508.838409,-0.012175,1.832557,0.05212,28.306299,0.018775,-6.800187,0.01795,0.287364,-0.131835,1300,78,2322.269287,0.015998,1.0,0.0,0.009359,-0.003688,-0.050907,-0.026687,0.030555706424826672,0.9999999999999117,338.427093,508.838409,-0.261760673205103,29.10183247013649,0.7566063656084587,-0.287364,-1.031876202876065,-0.1753912931757622,2317.969287
340.317382,8.516398,508.370697,-0.011409,1.840789,0.03504,28.348411,-0.034966,-7.094963,0.017072,0.011664,-0.321125,1366,82,2324.192138,0.058181,1.0,0.0,0.045234,0.016515,-0.045131,-0.022081,0.11111929571030099,0.9999999999985453,340.317382,508.370697,-0.26999267320510345,29.213828454367444,0.7232794999728229,-0.011664,-1.1580730231777094,-0.18225818165481744,2319.8921379999997
341.264465,8.514558,508.132598,-0.010874,1.837487,0.023276,28.396537,-0.05986,-7.144756,0.010881,-0.134538,-0.362478,1400,84,2325.156494,0.058181,1.0,0.0,0.03978,0.012381,-0.037061,-0.014804,0.11111929571030375,0.9999999999993241,341.264465,508.132598,-0.26669067320510376,29.275604596467286,0.591462089409303,0.134538,-1.2513370247951148,-0.17837997393021787,2320.8564939999997
343.641296,8.508121,507.538604,-0.010106,1.814006,-0.004208,28.568132,-0.079322,-7.052027,0.004677,-0.355589,-0.309277,1483,89,2327.577636,0.058181,1.0,0.0,0.049105,0.023682,-0.007299,0.013618,0.11111929571030142,0.9999999999985739,343.641296,507.538604,-0.24320967320510345,29.425635203892575,0.035265076077719115,0.355589,-1.538399893618821,-0.15383637636345782,2323.277636
345.555236,8.503857,507.081817,-0.009878,1.787179,-0.023028,28.751487,-0.049832,-6.690222,0.011805,-0.420545,-0.274744,1550,93,2329.526123,0.058181,1.0,0.0,0.062146,0.036699,0.011762,0.032773,0.1111192957103046,0.9999999999995947,345.555236,507.081817,-0.21638267320510352,29.51739355941862,-0.36132060395883236,0.420545,-1.786114135472923,-0.12647558405843462,2325.226123
347.482025,8.502381,506.658142,-0.009791,1.758361,-0.039175,28.946424,-0.005013,-6.123169,0.015714,-0.433701,-0.227006,1616,97,2331.484863,0.058181,1.0,0.0,0.072969,0.046723,0.023293,0.045146,0.11111929571030417,0.9999999999995524,347.482025,506.658142,-0.18756467320510328,29.58050802260783,-0.6182282060622448,0.433701,-2.0187058980648875,-0.09694246773221948,2327.184863
